name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MSib_StkWnrs_Offs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,studbook_id,birth_eday,sex,lote,haras,link
ARISTOCRAT,ANGIOLO,PEPPER'S PIE,.021294339,.57863748,.036800828,.059701491,0,5,104.18633,YES,No,13,107.48256,YES,YES,3,.1,-.073045611,.023178726,-.0050971061,.35859013,.15960704,-.016396079,.015356299,.0452798298101698,11.252055,6,448212,13oct2023,2,44,TRIPLE ALLIANCE,https://arg-sales.com/remates/view/346
AROMO EN FLOR,ANGIOLO,INTERBOA,.0098786028,.58157349,.016985992,.059701491,0,9,58.747986,No,No,4,66.525642,No,No,0,0,-.10417956,.0072841793,.010771871,-.012512743,-.15388098,-.030611757,-.014918739,.0212185917007446,14.10137,10,447261,08nov2023,2,65,EL PARAISO,https://arg-sales.com/remates/view/346
ASPERO,NICHOLAS,RISPIDA,.010021789,.50494277,.019847376,0,0,3,59.569008,No,No,2,,No,No,0,,-.025565058,-.016891971,-.064247586,-.039935853,-.16779767,.0054916404,-.0092330873,.0398567449628899,8.8849316,4,445493,25sep2023,2,50,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
ASPIRING ARTIST,ANGIOLO,STALAGMITE,.0098444764,.71152341,.013835773,.059701491,0,2,87.866669,No,No,8,60.678024,No,No,0,0,.10790616,.023178726,.0024951696,-.073594145,-.18221346,.02613515,-.031979423,.0667760219439515,6.9917808,3,441986,29jul2023,2,63,TRIPLE ALLIANCE,https://arg-sales.com/remates/view/346
ASTRONOMIST,DANIEL BOONE (BRZ),AT THE MAIL,.015315347,.56884223,.026923718,.05479452,0,1,104.04752,Yes,No,7,,No,No,0,,-.054203212,.0043926984,-.032528736,.055532999,-.13379321,.013604123,-.0088911233,.0371596977929585,8.1972599,3,445908,03oct2023,1,16,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
ATANDO CABOS,ANGIOLO,WISHING WELL,.026696855,.6260587,.042642735,.059701491,.090909094,11,,No,No,0,108.02921,YES,YES,2,.026666667,-.0054455996,.0072841793,.01559341,-.012512743,.29261193,.0059994981,-.014918739,.0193620612553786,17.156164,10,445154,13sep2023,2,29,EL PARAISO,https://arg-sales.com/remates/view/346
BACALHAU,GOUVERNEUR MORRIS (USA),BAY HARBOR,.021869658,.75742972,.028873514,.044452887,0,5,112.6261,Yes,Yes,13,107.09312,Yes,No,0,0,-.017992347,.060747832,-.027805567,.097886525,-.02992852,-.013288427,-.016691774,.0270715222868603,11.09863,6,444409,08sep2023,2,2,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
BARBARA GIRL,COSMIC TRIGGER,BARCELONA GIRL,.0064823395,.41806635,.015505528,.076271184,0,1,,No,No,0,,No,No,0,,-.074092686,-.13625012,.054542914,-.042108495,-.16253033,.0092338249,.014366889,.0457145963191579,5.2493153,2,445123,03oct2023,1,58,ABOLENGO,https://arg-sales.com/remates/view/344
BARBIE MARGOT,PNEUMATIC (USA),BARBIE GIRL,.018229824,.54459643,.033474006,.044452887,.125,8,90.408577,Yes,Yes,5,94.712311,YES,YES,5,.11111111,.12352562,.035653815,-.064478211,-.014360387,.042090118,-.0096820667,.014366889,.024773231589279,13.819178,10,441693,12jul2023,1,19,ABOLENGO,https://arg-sales.com/remates/view/344
BEAUTIFUL MIND,IL MERCATO,ROMAN HOLIDAY,.019760294,.72332823,.027318571,.023809524,.33333334,3,54.265347,No,No,3,117.01186,YES,YES,2,.15384616,.01322329,-.14245474,-.011725977,-.039935853,.079848185,-.01498856,-.0092330873,.0283404617730412,8.9178085,4,444094,03sep2023,2,51,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
BLACK BOY,DADDY LONG LEGS (USA),BLACK SILKS,.021683689,.67692155,.032032795,.091603056,0,1,94.901756,YES,No,16,,No,No,0,,.12114468,.035653815,.10743462,-.012768243,-.16253033,-.005870454,.014366889,.0246881211169239,6.7698631,2,441694,13jul2023,2,45,ABOLENGO,https://arg-sales.com/remates/view/344
BOBBY CHARLTON,NICHOLAS,DIXIE MANIA,.0050847922,.506311,.010042824,0,0,2,87.003288,No,No,9,78.841042,No,No,0,0,-.010052919,-.029738441,-.021881633,-.043922864,-.092147842,-.0038315989,.04245194,.0308899869050947,9.934247,5,448233,20sep2023,2,45,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
BOHEMIA KISS,DANIEL BOONE (BRZ),BUTTERFLY KISS,.012863443,.56214243,.02288289,.05479452,0,1,71.674202,No,No,5,,No,No,0,,-.078012705,.0043926984,-.033362672,-.078593872,-.13379321,.031284075,.032165449,.0333429582096869,7.049315,2,447376,13oct2023,1,28,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
BOLDRO,GOUVERNEUR MORRIS (USA),BUENAS COSTUMBRES (USA),.030737335,.78644735,.039083779,.044452887,0,8,110.71237,YES,YES,10,111.19245,YES,YES,7,.1147541,.073689163,.060747832,.0755983,-.05492077,.1271103,-.053515665,.030643947,.0458965453444762,16.39452,10,441913,18jul2023,2,3,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
BONUS TRACK,TREASURE BEACH (GB),BONICA NOIA,.028735776,.69140077,.041561678,.044444446,0,4,106.17703,No,No,4,102.48311,YES,No,1,.022222223,.028287888,.035653815,-.047338471,-.014360387,.28250197,-.018561836,.014366889,.0317537709124736,11.843836,8,442940,21aug2023,2,29,ABOLENGO,https://arg-sales.com/remates/view/344
CABO DE RONDA,STRATEGOS,ITAPERINA,.023248801,.61023915,.038097851,.125,0,8,90.964088,No,No,8,112.40025,YES,YES,5,.051546391,-.044233948,.077145875,-.051067397,-.012512743,.2671591,-.015357066,-.014918739,.0258112778246868,17.230137,10,446264,05oct2023,2,28,EL PARAISO,https://arg-sales.com/remates/view/346
CAIEIRAS,GOUVERNEUR MORRIS (USA),CUANTICA,.026821477,.74318743,.036089789,.044452887,.1,10,87.532829,No,No,9,118.23731,YES,YES,1,.010204081,.052531898,.060747832,.0755983,-.05492077,.17369339,-.04716821,-.057748348,.0164693133519904,18.901369,10,441896,30jul2023,1,29,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
CAMBIO RADICAL,SOVEREIGN (IRE),POORLITTLEBRIDGETT (USA),.02636227,.70553559,.037364904,.044452887,.16666667,6,,No,No,0,117.77676,YES,Yes,1,.011627907,.010317445,.00048682094,.02418454,.066217944,.1156275,-.0056885877,-.013685524,.0240378486341797,14.358904,10,447001,13aug2023,2,12,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
CAMINO AL RIO,STRATEGOS,ESTRELLA DEL RIO,.017100874,.62100053,.027537618,.125,0,0,92.439827,No,No,2,,No,No,0,,.012185454,.077145875,-.051067397,.048434488,-.17511401,.043791059,.032416984,.0265095864770046,4.9369864,1,444609,03sep2023,2,14,EL PARAISO,https://arg-sales.com/remates/view/346
CAMINO DE SANTIAGO,STRATEGOS,LAPPAS,.019085344,.62501091,.030536018,.125,0,0,75.395988,No,No,3,,No,No,0,,.061552435,.077145875,.052336469,.018869378,-.17511401,.034751188,-.014918739,.0227490768138523,5.9589043,1,442439,06aug2023,2,26,EL PARAISO,https://arg-sales.com/remates/view/346
CANADA DRY,MANIPULATOR (USA),CORAZA MISTICA,.032865983,.69942713,.046989862,.039260969,.40000001,5,,No,No,0,121.17779,YES,YES,4,.078431375,.024322182,.060747832,-.045471519,-.05492077,.39958265,.02380643,-.010412626,.0232372004538774,10.79452,8,443170,15aug2023,1,36,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
CANDY MACHINE,PNEUMATIC (USA),CANDYDACY,.0088749537,.48175299,.018422207,.044452887,0,0,,No,No,0,,No,No,0,,-.0050453544,.035653815,-.064478211,-.042108495,-.16253033,.02983775,-.03296883,.0264439123020566,5.1232877,1,443912,04sep2023,1,62,ABOLENGO,https://arg-sales.com/remates/view/344
CANDY MO,PNEUMATIC (USA),CITY AND THE SEX,.020510713,.60246086,.034044888,.044452887,0,2,106.08263,YES,YES,13,,No,No,0,,.12590659,.035653815,-.064478211,.21929942,-.16253033,.017767049,-.03296883,.0245484586503153,7.9260273,3,441689,11jul2023,2,22,ABOLENGO,https://arg-sales.com/remates/view/344
CAPA DE SEDA,STRATEGOS,SHANKYIRA,.017361715,.5379318,.032274939,.125,0,9,,No,No,0,100.79399,Yes,No,0,0,.10386699,.077145875,.052336469,-.012512743,-.096344404,-.018150769,-.014918739,.0243237858448992,12.830137,10,441956,13jul2023,1,50,EL PARAISO,https://arg-sales.com/remates/view/346
CAPELO HIT,HIT IT A BOMB (USA),MISS CAPELA,.033892509,.72221035,.04692886,.057971016,.125,8,101.26081,YES,YES,11,115.1338,YES,YES,5,.070422538,.018227935,-.051575616,-.046204686,-.060937375,.23325658,-.033948399,-.0039320728,.0391167900816072,19.917809,10,442815,19aug2023,2,30,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
CARAMELLA,PNEUMATIC (USA),CARAMELIZA,.021501133,.55478799,.038755585,.044452887,0,0,105.82114,YES,Yes,15,,No,No,0,,.10209712,.035653815,-.064478211,.33470544,-.16253033,.017060891,-.03296883,.0272201386360393,4.8821917,1,442072,21jul2023,1,11,ABOLENGO,https://arg-sales.com/remates/view/344
CARDO CASTILLA,STRATEGOS,SALLY ROSE,.034994941,.61608386,.056802239,.125,.16666667,6,94.585472,No,No,5,125.7394,YES,YES,5,.13157895,.05978933,.077145875,.052336469,-.012512743,.36843756,-.012048893,-.014918739,.0235166878192103,12.057534,8,442961,07aug2023,2,5,EL PARAISO,https://arg-sales.com/remates/view/346
CARE FOR DADDY,DADDY LONG LEGS (USA),CARE FOR,.033181969,.62052244,.053474244,.091603056,.22222222,9,109.67364,No,No,10,111.87475,YES,YES,12,.32432431,.044954479,.035653815,.10001089,-.014360387,.32082862,-.02326395,.014366889,.0396158228704735,16.926027,10,442621,14aug2023,2,3,ABOLENGO,https://arg-sales.com/remates/view/344
CARMELO TONY,EQUAL STRIPES,CARMELINDA,.0085935509,.43018723,.019976305,.072345391,0,6,103.32529,YES,YES,18,96.587891,YES,YES,5,.16666667,-.12409252,-.054768451,.019771948,-.014360387,.0085046887,-.044822641,.014366889,.0958116574765882,15.210958,10,446094,24oct2023,2,14,ABOLENGO,https://arg-sales.com/remates/view/344
CARRY DAY,THE GREAT DAY,MISS CARRY TOP,.027334392,.57287663,.047714274,.044452887,0,7,60.481892,No,No,3,117.58815,YES,No,1,.043478262,.099330842,.040726453,.054199427,-.060937375,-.025556475,-.035925392,-.0039320728,.0394931567061576,12.909589,8,441501,04jul2023,1,35,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
CASTIGO DIVINO,STRATEGOS,RAMLA,.015244122,.59585428,.02558364,.125,0,4,72.554146,No,No,1,105.93209,Yes,No,0,0,.021000981,.077145875,-.051067397,-.040260851,-.036922917,-.013411745,-.014918739,.0198441747743345,13.082191,9,443652,29aug2023,2,36,EL PARAISO,https://arg-sales.com/remates/view/346
CATCH RIM,REMOTE (GB),LOCASA CATCH,.036963638,.74845415,.049386643,.081272088,0,4,95.531242,YES,No,7,90.264755,No,No,0,0,.057016283,-.051575616,.052782536,-.060937375,.096652389,.005248867,-.0039320728,.0612662567837106,11.89589,7,441832,28jul2023,2,23,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
CATTO,DADDY LONG LEGS (USA),CATY SOUL,.014421728,.59290051,.024324028,.091603056,0,0,,No,No,0,,No,No,0,,.0092403293,.035653815,.097324446,-.042108495,-.16253033,.016911298,-.03296883,.0263936936244136,3.8520548,1,443486,29aug2023,2,24,ABOLENGO,https://arg-sales.com/remates/view/344
CELESTIAL DAY,THE GREAT DAY,CELESTIAL CANDY,.028420823,.72266132,.039327998,.044452887,0,3,114.4566,YES,YES,18,97.518677,Yes,No,0,0,-.10871571,.040726453,-.049204439,-.060937375,.097970635,.012474038,-.010211222,.0295684390584938,12.252055,7,446926,30oct2023,2,2,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
CELINE STYLE,EQUAL STRIPES,CECIL ASPEN,.010540062,.47307995,.022279663,.072345391,0,4,99.096336,No,No,7,87.485512,No,No,0,0,-.10266405,-.054768451,.019959524,-.014360387,-.023014039,.029049188,.014366889,.0347222460550256,9.2082195,5,445442,15oct2023,1,48,ABOLENGO,https://arg-sales.com/remates/view/344
CHAMPI RIM,REMOTE (GB),CHAMPI DAY,.046529446,.72084206,.064548738,.081272088,.33333334,3,91.776848,No,No,8,109.46695,YES,YES,6,.54545456,-.0011662245,-.051575616,.049394011,.028675526,.26617777,.037722588,-.0039320728,.0268637222397956,8.9424658,4,443030,30aug2023,2,3,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
CHELA,COSMIC TRIGGER,CHARLOTTE CHANTAL,.014166283,.52610362,.026926793,.076271184,0,4,78.103218,No,No,11,105.79915,YES,YES,3,.07692308,.049716353,-.13625012,.058725491,.00056823716,.076541439,-.031689908,-.03296883,.0401470815413631,11.008219,6,442627,12aug2023,1,23,ABOLENGO,https://arg-sales.com/remates/view/344
CHESTER,DADDY LONG LEGS (USA),CHARMING PRINCESS,.015853466,.65832156,.024081646,.091603056,0,1,86.947884,No,No,10,,No,No,0,,.086428255,.014311358,.097552091,.017781682,-.17436801,.083713673,-.003791701,.0356943308106565,6.8109589,2,441795,21jul2023,2,7,EL CHAÑAR,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
CIFRADO,STRATEGOS,SALICA HALO,.020119203,.69094843,.029118242,.125,0,0,95.47699,No,No,4,,No,No,0,,.058026224,.077145875,.052336469,.0040868185,-.17511401,.022029858,-.014918739,.0243898049830023,5.8410959,1,442964,08aug2023,2,41,EL PARAISO,https://arg-sales.com/remates/view/346
CIMENTADO,DANIEL BOONE (BRZ),CINCIDELLA,.023429841,.63334614,.036993738,.05479452,.1,10,101.21427,YES,YES,7,110.61899,YES,YES,2,.022222223,-.068488896,.0043926984,-.032949157,-.050845765,.2339718,-.021264419,-.0088911233,.0363320985052269,22.19178,10,445911,09oct2023,2,19,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
CISCO KID GO,STRATEGOS,CUANTAS LETRAS,.013515607,.56208241,.024045598,.125,0,9,64.128792,No,No,3,95.44664,Yes,No,0,0,-.049523264,.077145875,-.051067397,-.012512743,-.047569394,-.045446433,.032416984,.0247598466739873,18.983562,10,446244,08oct2023,2,75,EL PARAISO,https://arg-sales.com/remates/view/346
CITA PERFECTA,SOVEREIGN (IRE),SAVE THE DATE,.028218227,.61654109,.045768607,.044452887,.33333334,3,,No,No,0,119.44335,YES,YES,8,.66666669,-.062590301,.02196908,.039156273,-.039935853,.27141505,.013627473,-.0092330873,.034408299907227,8.09589,5,447012,16oct2023,1,4,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
CITADEL LOVE,CITYSCAPE (GB),LOVELY LADY,.036216229,.60606581,.059756264,.089686096,.25,4,80.425743,Yes,No,2,118.39572,YES,YES,3,.13636364,.03231281,.10817657,.06552434,.013113733,.59119016,-.00620481,.0067622475,.0222341433691327,9.8739729,6,443338,15aug2023,2,1,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
CITY MERCANTIL,IL MERCATO,CITY MAP,.026669629,.6625663,.040252015,.023809524,0,3,82.597588,YES,Yes,4,84.581535,No,No,0,0,.094846457,-.070415273,-.015877604,.21330768,.061154917,-.032920651,.030643947,.0232134929392487,10.747945,6,441803,06jul2023,1,31,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
CITY QUEEN,EQUAL STRIPES,LEMONCELLA,.013872169,.37213656,.037277091,.072345391,.1,10,84.649513,No,No,4,115.0074,Yes,Yes,0,0,-.040759504,-.054768451,.020084962,-.014360387,.26043084,.016783893,.014366889,.0894242682843469,16.120548,10,444288,19sep2023,1,9,ABOLENGO,https://arg-sales.com/remates/view/344
CLARISIMO,STRATEGOS,INDIAN SPRINGS,.027816519,.62562478,.044461984,.125,.07692308,13,,No,No,0,122.47445,YES,YES,2,.014184397,-.00015628338,.077145875,-.051067397,-.012512743,.35229328,-.030611757,-.014918739,.0193538878447725,21.046576,10,444645,10sep2023,2,9,EL PARAISO,https://arg-sales.com/remates/view/346
CLASSY WOMAN,TREASURE BEACH (GB),CALDESIA,.017738424,.53873688,.032925952,.044444446,0,3,,No,No,0,98.443016,No,No,0,0,.064002037,.035653815,-.046136856,-.042108495,.063363284,-.014271878,.055423465,.044344880108838,8.0246572,5,442276,06aug2023,1,65,ABOLENGO,https://arg-sales.com/remates/view/344
CLAUDE MONET,SOVEREIGN (IRE),LA PIAFF,.045289766,.78784341,.057485744,.044452887,.090909094,11,67.133499,YES,No,4,116.70541,YES,YES,2,.015625,.083747536,.02196908,.039156273,-.012187745,.20285775,.053192671,.031823486,.0398676069453359,18.873972,10,444082,25jul2023,2,36,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
COLORADO DEL MONTE,STRATEGOS,SEDUCTIVE VOICE,.030777326,.69770658,.044112135,.125,0,4,,No,No,0,94.008904,No,No,0,0,.091525227,.077145875,.052336469,-.012512743,.10089573,.019688223,-.014918739,.0246030497728498,9.7945204,6,441973,20jul2023,2,12,EL PARAISO,https://arg-sales.com/remates/view/346
COLORADO EL UNO,CIMA DE TRIOMPHE (IRE),CRYSTAL IN ASPEN,.028747007,.6614477,.043460742,.039215688,0,9,55.450775,No,No,2,99.096336,Yes,Yes,0,0,-.087641418,.060947627,.037152618,-.093859859,.060092226,-.036151495,.017365655,.0559303445043042,14.583562,10,445320,14oct2023,2,32,LA LEYENDA,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
CONSTANTINO KING,DANIEL BOONE (BRZ),CARTA PATENTE,.028783226,.66017878,.04359914,.05479452,.25,8,96.581093,YES,YES,4,123.89079,YES,YES,14,.12612613,-.11134589,.0043926984,-.034822434,-.050845765,.38058522,-.0031791814,-.0088911233,.0368454053168534,16.30411,10,447395,27oct2023,2,4,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
CONTESSA MATIC,PNEUMATIC (USA),CONTESSA LINDA,.020797394,.60736883,.034241788,.044452887,0,4,101.16,YES,YES,12,86.910545,No,No,0,0,.083049595,.035653815,-.064478211,-.014360387,.10784853,-.019480936,.014366889,.0236434251783066,11.860274,8,442289,29jul2023,1,38,ABOLENGO,https://arg-sales.com/remates/view/344
COOL BRO,PNEUMATIC (USA),COOL SITE,.031032218,.60327679,.051439434,.044452887,.2,5,,No,No,0,114.21939,YES,YES,4,.15384616,.0068593621,.035653815,-.064478211,-.014360387,.48540846,.030081786,-.03296883,.0217971216425212,11.854795,9,443536,30aug2023,2,2,ABOLENGO,https://arg-sales.com/remates/view/344
COPERNICANA,STORM EMBRUJADO,COPPER,.010814631,.40983531,.026387749,.04137931,0,4,104.24183,YES,Yes,19,,No,No,0,,-.080498576,-.11095631,-.0197694,-.072192803,-.16825259,.05018514,.017365655,.0361202689819038,10.145205,5,445317,11oct2023,1,42,LA LEYENDA,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
CORAZON FEDERAL,STRATEGOS,SARAHRI,.030606216,.65613633,.046646122,.125,0,5,114.18948,Yes,Yes,25,97.24675,YES,Yes,1,.020833334,.077420384,.077145875,.052336469,-.012512743,.1732271,.004433535,-.014918739,.0249680527704186,11.805479,7,441961,28jul2023,2,52,EL PARAISO,https://arg-sales.com/remates/view/346
CRAZY TRAIN,REMOTE (GB),CRAZY NISTEL,.021149483,.73273677,.028863683,.081272088,0,6,89.232086,No,No,18,99.474747,YES,Yes,1,.015151516,.068729937,-.02788192,.080366105,-.068488032,.16006747,-.0013772175,-.0082113147,.0359987658412138,14.008219,9,443320,03aug2023,1,14,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
CRUZ AL SUR,STRATEGOS,SANDRIA,.019593434,.53162384,.036855824,.125,0,5,80.340294,No,No,5,77.261307,Yes,No,0,0,.091525227,.077145875,.052336469,-.0047827139,-.036123127,.017508987,-.014918739,.0259277174300223,10.99452,6,441974,20jul2023,1,25,EL PARAISO,https://arg-sales.com/remates/view/346
CUERDA,SOVEREIGN (IRE),TOCADA MAL,.020357601,.68116975,.029886238,.044452887,0,3,74.504349,No,No,4,86.606125,No,No,0,0,-.0026446581,.02196908,.039156273,.0044118166,-.14260067,.021472748,-.0092330873,.0379806143319001,9.0109587,4,444674,12sep2023,1,41,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
CUMEIRA,IL MERCATO,CANDY POP,.012738514,.70184582,.018150017,.023809524,0,0,62.05233,No,No,1,,No,No,0,,.077215374,-.070415273,-.015877604,-.082668878,-.16154096,.037407815,-.010412626,.0273018233601761,4.7945204,2,442734,16jul2023,1,32,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
DAKOTA BOONE,DANIEL BOONE (BRZ),DISNEY QUEEN,.019835651,.61736733,.032129414,.05479452,.1,10,105.38681,YES,No,20,115.17623,YES,YES,5,.05050505,-.042298496,.0043926984,-.03166645,-.050845765,.10895833,-.020658638,-.0088911233,.0396326142945327,18.052055,10,445898,28sep2023,1,6,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
DANDY BOY,EQUAL STRIPES,DANCE ON THE SEA,.016644588,.55060518,.030229624,.072345391,0,1,107.78958,YES,YES,8,,No,No,0,,.016383171,-.054768451,.02065374,.1696467,-.16253033,.055301242,.014366889,.028040340046573,6.9808221,3,443478,26aug2023,2,21,ABOLENGO,https://arg-sales.com/remates/view/344
DANIEL LODE,DANIEL BOONE (BRZ),DISTINGUIDA LODE,.030390356,.75464863,.040270869,.05479452,0,8,113.63495,YES,YES,20,109.35645,YES,YES,4,.047058824,-.034665257,-.051575616,-.095461063,-.060937375,.20890296,-.023002598,-.0039320728,.0373024017317221,15.980822,10,444119,18sep2023,2,15,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
DAY LEWIS,SOVEREIGN (IRE),LA MAS POSH,.0099550076,.60346836,.016496321,.044452887,0,5,116.19142,Yes,Yes,11,99.359787,No,No,0,0,-.06243366,.0091226101,.037525363,-.068335205,.17123732,.009393353,.0013953671,.0351042514230357,11.246575,6,446999,12oct2023,2,31,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
DE GAULLE,SOVEREIGN (IRE),UNE DAME,.0087192822,.55239069,.015784629,.044452887,0,6,103.83892,YES,YES,10,101.92483,No,No,0,0,-.06243366,.0091226101,.037525363,-.068335205,.18128318,-.024722055,.0013953671,.0359772637821152,14.021917,8,446998,12oct2023,2,40,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
